i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,i15_seen
美国,16097,妙药春情,7.2,1952,霍华德·霍克斯,"喜剧,科幻",97,美国,778,1293879,https://movie.douban.com/subject/1293879/,http://www.imdb.com/title/tt0044916,16343,,
意大利,16098,白酋长,7.2,1952,费德里科·费里尼,"剧情,喜剧,爱情",86,意大利,797,1433560,https://movie.douban.com/subject/1433560/,http://www.imdb.com/title/tt0044000,5796,,
中国大陆,16099,南征北战,7.2,1952,成荫,"剧情,战争",122,中国大陆,2183,1463390,https://movie.douban.com/subject/1463390/,http://www.imdb.com/title/tt0352615,5765,,
美国,16100,地球停转之日,7.2,1951,罗伯特·怀斯,"剧情,科幻,惊悚",92,美国,3099,1296140,https://movie.douban.com/subject/1296140/,http://www.imdb.com/title/tt0043456,3627,,
美国,16101,M就是凶手,7.2,1951,约瑟夫·罗西,"剧情,惊悚,黑色电影",86,美国,72,1297360,https://movie.douban.com/subject/1297360/,http://www.imdb.com/title/tt0043766,14599,,
美国,16102,砰砰杰瑞德,7.2,1951,Robert Cannon,"喜剧,动画,短片,家庭",,美国,617,1938112,https://movie.douban.com/subject/1938112/,http://www.imdb.com/title/tt0043581,9137,,
美国,16103,死亡漩涡,7.2,1950,Rudolph Maté,"剧情,悬疑,黑色电影",83,美国,114,1294758,https://movie.douban.com/subject/1294758/,http://www.imdb.com/title/tt0042369,15932,,
美国,16104,登陆月球,7.2,1950,欧文·皮切尔,"剧情,科幻,冒险",92,美国,45,1298959,https://movie.douban.com/subject/1298959/,http://www.imdb.com/title/tt0042393,5092,,
美国,16105,战地新娘,7.2,1949,霍华德·霍克斯,"喜剧,爱情,战争",105,美国,169,1293502,https://movie.douban.com/subject/1293502/,http://www.imdb.com/title/tt0041498,10684,,
英国,16106,荒岛酒池,7.2,1949,亚历山大·麦肯德里克,喜剧,82,英国,70,1295847,https://movie.douban.com/subject/1295847/,http://www.imdb.com/title/tt0042040,6425,,
美国,16107,十字交锋,7.2,1949,罗伯特·西奥德梅克,"剧情,惊悚,犯罪,黑色电影",88,美国,137,1755448,https://movie.douban.com/subject/1755448/,http://www.imdb.com/title/tt0041268,4982,,
美国,16108,夜逃鸳鸯,7.2,1948,尼古拉斯·雷,"爱情,犯罪,黑色电影",95,美国,219,1298951,https://movie.douban.com/subject/1298951/,http://www.imdb.com/title/tt0040872,8609,,
美国,16109,双雄斗智,7.2,1947,爱德华·迪麦特雷克,"剧情,悬疑,犯罪,黑色电影",86,美国,124,1296912,https://movie.douban.com/subject/1296912/,http://www.imdb.com/title/tt0039286,5688,,
法国,16110,文森特先生,7.2,1947,马瑞斯·克劳泽,"剧情,传记,历史",111,法国,280,1303365,https://movie.douban.com/subject/1303365/,http://www.imdb.com/title/tt0039632,11638,,
美国,16111,门后的秘密,7.2,1947,弗里茨·朗,"剧情,悬疑,惊悚,黑色电影",99,美国,139,1476100,https://movie.douban.com/subject/1476100/,http://www.imdb.com/title/tt0040766,8131,,
澳大利亚,16112,印度尼西亚在呼唤,7.2,1946,尤里斯·伊文思,"纪录片,短片",23,澳大利亚,39,3585017,https://movie.douban.com/subject/3585017/,http://www.imdb.com/title/tt0038639,13362,,
