i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop
美国,62,音乐之声,8.9,1965,罗伯特·怀斯,"剧情,爱情,歌舞,家庭,传记",174,美国,223889,1294408,https://movie.douban.com/subject/1294408/,http://www.imdb.com/title/tt0059742,217,64,
美国,63,低俗小说,8.7,1994,昆汀·塔伦蒂诺,"剧情,喜剧,犯罪",154,美国,319994,1291832,https://movie.douban.com/subject/1291832/,http://www.imdb.com/title/tt0110912,97,65,
日本,64,入殓师,8.8,2008,泷田洋二郎,剧情,130,日本,309525,2149806,https://movie.douban.com/subject/2149806/,http://www.imdb.com/title/tt1069238,234,66,
美国,65,本杰明·巴顿奇事,8.7,2008,大卫·芬奇,"剧情,爱情,奇幻",166,美国,378689,1485260,https://movie.douban.com/subject/1485260/,http://www.imdb.com/title/tt0421715,241,67,
美国,66,沉默的羔羊,8.7,1991,乔纳森·戴米,"剧情,惊悚,犯罪",118,美国,338731,1293544,https://movie.douban.com/subject/1293544/,http://www.imdb.com/title/tt0102926,171,68,
美国,67,黑客帝国,8.8,1999,莉莉·沃卓斯基,"动作,科幻",136,美国 / 澳大利亚,267957,1291843,https://movie.douban.com/subject/1291843/,http://www.imdb.com/title/tt0133093,102,69,
美国,68,蝴蝶效应,8.7,2004,埃里克·布雷斯,"剧情,科幻,悬疑,惊悚",113,美国 / 加拿大,366363,1292343,https://movie.douban.com/subject/1292343/,http://www.imdb.com/title/tt0289879,64,70,
美国,69,拯救大兵瑞恩,8.8,1998,史蒂文·斯皮尔伯格,"剧情,历史,战争",169,美国,225192,1292849,https://movie.douban.com/subject/1292849/,http://www.imdb.com/title/tt0120815,230,71,
韩国,70,素媛,9.1,2013,李濬益,"剧情,家庭",123,韩国,164055,21937452,https://movie.douban.com/subject/21937452/,http://www.imdb.com/title/tt3153634,100,72,
意大利,71,西西里的美丽传说,8.7,2000,朱塞佩·托纳多雷,"剧情,情色,战争",109,意大利 / 美国,328998,1292402,https://movie.douban.com/subject/1292402/,http://www.imdb.com/title/tt0213847,221,73,
澳大利亚,72,玛丽和马克思,8.9,2009,亚当·艾略特,"剧情,爱情,动画",80,澳大利亚,226369,3072124,https://movie.douban.com/subject/3072124/,http://www.imdb.com/title/tt0978762,158,74,
美国,73,心灵捕手,8.7,1997,格斯·范·桑特,剧情,126,美国,257977,1292656,https://movie.douban.com/subject/1292656/,http://www.imdb.com/title/tt0119217,108,75,
日本,74,幽灵公主,8.8,1997,宫崎骏,"动画,奇幻,冒险",134,日本,224350,1297359,https://movie.douban.com/subject/1297359/,http://www.imdb.com/title/tt0119698,122,76,
美国,75,第六感,8.8,1999,M·奈特·沙马兰,"剧情,悬疑,恐怖",107,美国,223629,1297630,https://movie.douban.com/subject/1297630/,http://www.imdb.com/title/tt0167404,90,77,
香港,76,春光乍泄,8.8,1997,王家卫,"剧情,爱情,同性",96,香港 / 日本 / 韩国,231791,1292679,https://movie.douban.com/subject/1292679/,http://www.imdb.com/title/tt0118845,240,78,
中国大陆,77,阳光灿烂的日子,8.7,1994,姜文,剧情,134,中国大陆 / 香港,258304,1291875,https://movie.douban.com/subject/1291875/,http://www.imdb.com/title/tt0111786,131,79,
中国大陆,78,让子弹飞,8.7,2010,姜文,"剧情,喜剧,动作,西部",132,中国大陆 / 香港,597715,3742360,https://movie.douban.com/subject/3742360/,http://www.imdb.com/title/tt1533117,65,80,
中国大陆,79,大闹天宫,9.2,1961,万籁鸣,"动画,奇幻",114,中国大陆,92208,1418019,https://movie.douban.com/subject/1418019/,http://www.imdb.com/title/tt0059855,81,81,
美国,80,大鱼,8.7,2003,蒂姆·波顿,"剧情,家庭,奇幻,冒险",125,美国,240827,1291545,https://movie.douban.com/subject/1291545/,http://www.imdb.com/title/tt0319061,2,82,
美国,81,疯狂动物城,9.2,2016,拜伦·霍华德,"喜剧,动作,动画,冒险",109,美国,465094,25662329,https://movie.douban.com/subject/25662329/,http://www.imdb.com/title/tt2948356,235,83,
