i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,
日本,2917,乱云,8.5,1967,成濑巳喜男,剧情,108,日本,1940,1302082,https://movie.douban.com/subject/1302082/,http://www.imdb.com/title/tt0061971,2917,,
加拿大,2809,乱战,7,2005,托尼·基格里奥,"剧情,动作,惊悚,犯罪",106,加拿大 / 英国 / 美国,13781,1493481,https://movie.douban.com/subject/1493481/,http://www.imdb.com/title/tt0402910,2809,,
苏联,8835,掠夺,7.7,1990,Mikhail Aldashin,"喜剧,动画,短片",,苏联,841,1931316,https://movie.douban.com/subject/1931316/,http://www.imdb.com/title/tt0819924,8835,,
法国,14163,伦巴,8.4,2008,Dominique Abel,喜剧,77,法国 / 比利时,2292,3060582,https://movie.douban.com/subject/3060582/,http://www.imdb.com/title/tt1160022,14163,,
英国,2812,伦勃朗,8.2,1936,亚历山大·柯达,"剧情,传记",85,英国,96,3538966,https://movie.douban.com/subject/3538966/,http://www.imdb.com/title/tt0028167,2812,,
法国,6806,伦勃朗传,7.9,1999,查尔斯·马东,"剧情,历史",106,法国 / 德国 / 荷兰,37,1918241,https://movie.douban.com/subject/1918241/,http://www.imdb.com/title/tt0163180,6806,,
荷兰,8432,伦勃朗之我控诉,8.1,2008,彼得·格林纳威,"悬疑,纪录片",86,荷兰 / 德国 / 芬兰,171,3264751,https://movie.douban.com/subject/3264751/,http://www.imdb.com/title/tt1303889,8432,,
英国,9188,伦敦：现代巴比伦,8.2,2012,朱利安·邓波,"纪录片,音乐",125,英国,102,11598609,https://movie.douban.com/subject/11598609/,http://www.imdb.com/title/tt1937419,9188,,
英国,18489,伦敦地铁史话·150周年纪念,8.7,2013,James House,,60,英国,167,24702660,https://movie.douban.com/subject/24702660/,http://www.imdb.com/title/tt3064760,18489,,
英国,15696,伦敦河,7.1,2009,拉契得·波查拉,"剧情,悬疑",87,英国 / 法国 / 阿尔及利亚,116,3073109,https://movie.douban.com/subject/3073109/,http://www.imdb.com/title/tt1227787,15696,,
英国,15218,伦敦可以坚持,7.9,1940,Humphrey Jennings,"纪录片,短片,战争",9,英国,30,3189567,https://movie.douban.com/subject/3189567/,http://www.imdb.com/title/tt0032723,15218,,
西德,2890,伦敦庞克风,8.5,1977,Wolfgang Büld,"纪录片,音乐",111,西德,77,2343558,https://movie.douban.com/subject/2343558/,http://www.imdb.com/title/tt0079763/,2890,,
意大利,1157,伦敦上空的鹰,7.7,1969,恩佐·卡斯提拉里,"剧情,战争",110,意大利 / 法国 / 西班牙,2887,1307405,https://movie.douban.com/subject/1307405/,http://www.imdb.com/title/tt0064571,1157,,
英国,11395,伦敦一家人,8.7,2016,罗杰·梅因伍德,"剧情,动画,家庭",94,英国,9027,5327189,https://movie.douban.com/subject/5327189/,http://www.imdb.com/title/tt1725969,11395,,
英国,11880,伦敦一览,7.5,2012,Sam Hobkinson,纪录片,60,英国,782,11603322,https://movie.douban.com/subject/11603322/,http://www.imdb.com/title/tt2177556,11880,,
美国,4342,伦尼的故事,8.4,1974,鲍勃·福斯,"剧情,传记",111,美国,299,1294087,https://movie.douban.com/subject/1294087/,http://www.imdb.com/title/tt0071746,4342,,
中国大陆,10028,轮回,7.2,1988,黄建新,剧情,125,中国大陆,510,1919225,https://movie.douban.com/subject/1919225/,http://www.imdb.com/title/tt0833496,10028,,
美国,328,轮回,9,2011,罗恩·弗里克,纪录片,102,美国,14563,5208150,https://movie.douban.com/subject/5208150/,http://www.imdb.com/title/tt0770802,328,,
日本,7590,轮回的拉格朗日,7.1,2012,鈴木利正,动画,45,日本,132,10563744,https://movie.douban.com/subject/10563744/,,7590,,
日本,20331,轮回之雨,7.4,2010,並木道子,,,日本,336,4230950,https://movie.douban.com/subject/4230950/,,20331,,
德国,3132,轮盘记,8.3,2003,Chris Stenner,"喜剧,动画,短片,奇幻",8,德国,3200,1408103,https://movie.douban.com/subject/1408103/,http://www.imdb.com/title/tt0330801,3132,,
